Nr,Date,Manual accuracy,Evaluate Accuracy,Correct Predicted,Epochs,Details, Model Version,Manual accuracy per training data
1,2024-03-09 18:46,0.07103825136612021,0.9289617538452148,26,1,no filter images,1
2,2024-03-10 00:42,0.06284153005464481,0.9344262480735779,23,3,no filter images,1
3,2024-03-10 01:36,0.03825136612021858,0.9480874538421631,14,3,no filter images,1
4,2024-03-10 02:57,0.0273224043715847,0.9562841653823853,10,3,no filter images,1
5,2024-03-10 12:52,0.02185792349726776,0.9262295365333557,8,3,no filter images,1
6,2024-03-10 14:30,0.0273224043715847,0.9398906826972961,10,5,no filter images,1
7,2024-03-10 17:38,0.06557377049180328,0.9234972596168518,24,5,no filter images,1
8,2024-03-10 20:44,0.0273224043715847,0.9590163826942444,10,5,no filter images,1
9,2024-03-10 23:27,0.02185792349726776,0.9180327653884888,8,10,no filter images,1
10,2024-03-12 01:37,0.05737704918032787,0.9262295365333557,21,1,no filter images,1
11,2024-03-12 02:03,0.040983606557377046,0.9453551769256592,15,1,no filter images,1
12,2024-03-12 22:32,0.01912568306010929,0.9562841653823853,7,1,no filter images,1,0.027986348122866895
13,2024-03-13 02:23,0.0273224043715847,0.9590163826942444,10,1,no filter images,2,0.03924914675767918
14,2024-03-13 03:06,0.07377049180327869,0.9098360538482666,27,1,no filter images,2,0.07098976109215017
15,2024-03-13 03:35,0.06557377049180328,0.9234972596168518,24,1,no filter images,1,0.0689419795221843
16,2024-03-13 13:30,0.02459016393442623,0.9453551769256592,9,1,no filter images,2,0.029351535836177476,86
17,2024-03-13 14:34,0.02185792349726776,0.931693971157074,8,3,no filter images,2,0.024232081911262797,71
18,2024-03-14 04:02,0.02459016393442623,0.9617486596107483,9,20,no filter images,2,0.03310580204778157,97
19,2024-03-14 20:08,0.02185792349726776,0.9644808769226074,8,5,no filter images,2,0.032423208191126277,95
20,2024-03-15 01:57,0.08469945355191257,0.9071038365364075,31,3,no filter images,2,0.08156996587030717,239
21,2024-03-17 06:04,0.02185792349726776,0.9535518884658813,8,15,no filter images,2,0.02696245733788396,79
22,2024-03-20 16:06,0.07923497267759563,0.9071038365364075,29,1,augmented imgs,3,0.07508532423208192
23,2024-03-21 02:27,0.0546448087431694,0.937158465385437,20,5,augmented imgs,3,0.050511945392491465,148
24,2024-03-21 16:14,0.0546448087431694,0.9125683307647705,20,5,augmented imgs,3,0.0583617747440273,171
25,2024-03-31 06:39,0.8415300250053406,42,5,augmented imgs,3,0.03967471660916708,322
26,2024-04-01 01:13,0.07377049180327869,0.9180327653884888,27,5,augmented imgs,3,0.02747658945293248,223
27,2024-04-01 06:32,0.5382513661202186,0.4508196711540222,197,3,augmented imgs - DDR dataset,4,0.17262198127156234,1401
